LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Ponderosa pine,Ponderosa pine,0,3.712898236,5.852095591,7.636575603,9.223777916,10.67875607,12.03635929,13.31799329,14.53799068,15.70653944,16.83120756,17.91781042,18.97093837,19.99429484,20.99092239,21.96335917,22.91375042,23.84392987,24.75548062,25.64978124,26.5280416,27.39133082,28.24059955,29.07669785,29.90038976,30.71236514,31.5132496,32.30361269,33.08397479,33.85481298,34.61656599,35.36963845,36.11440455,36.85121122,37.58038087,38.30221378,39.01699022,39.7249723,40.42640559,41.12152059,41.810534,42.49364987,43.17106063,43.84294804,44.50948395,45.17083113,45.82714387,46.47856866,47.12524468,47.76730435,48.4048738,49.03807322,49.66701734,50.29181571,50.91257306,51.52938959,52.14236124,52.75157994,53.35713387,53.95910763,54.5575825,55.15263657,55.74434495,56.33277992,56.91801106,57.50010544,58.07912769,58.65514016,59.22820304,59.79837442,60.36571044,60.93026538,61.4920917,62.05124018,62.60775997,63.16169866,63.71310235,64.26201574,64.80848217,65.35254367,65.89424102,66.43361384,66.97070056,67.50553856,68.03816413,68.56861257,69.09691821,69.62311443,70.14723373,70.66930774,71.18936724,71.70744225,72.22356199,72.73775493,73.25004885,73.76047083,74.26904726,74.77580393,75.28076596,75.78395791,76.28540373,76.78512684,77.28315009,77.77949582,78.27418587,78.76724155,79.25868376,79.74853287,80.23680885,80.72353123,81.20871911,81.69239118,82.17456576,82.65526076,83.13449374,83.61228188,84.08864202,84.56359068,85.03714402,85.50931788,85.98012781,86.44958905,86.91771654,87.38452492,87.85002858,88.31424162,88.77717788,89.23885095,89.69927415,90.15846058,90.61642309,91.0731743,91.5287266,91.98309218,92.43628298,92.88831077,93.33918709,93.78892329,94.23753053,94.68501977,95.1314018,95.57668721,96.02088644,96.46400974,96.90606719,97.34706871,97.78702408,98.22594288,98.66383459,99.10070849,99.53657375,99.97143938,100.4053142,100.8382071,101.2701265,101.701081,102.131079,102.5601285,102.9882377,103.4154147,103.8416672,104.267003,104.6914298,105.114955,105.5375861,105.9593304,106.380195,106.8001872,107.2193138,107.6375819,108.0549982,108.4715693,108.8873021,109.3022029,109.7162783,110.1295345,110.5419779,110.9536147,111.364451,111.7744927,112.1837459,112.5922164,112.99991,113.4068324,113.8129894,114.2183864,114.6230289,115.0269225,115.4300724,115.8324841,116.2341626,116.6351132,117.035341,117.434851,117.8336483,118.2317377,118.6291241,119.0258124,119.4218072,119.8171133,120.2117352
White fir,Grand fir,0,3.929371458,7.376902102,10.65061652,13.80961972,16.88121554,19.88122537,22.81999544,25.70483121,28.54117428,31.33324134,34.08440112,36.79741102,39.47457324,42.11784187,44.72889881,47.3092091,49.86006215,52.38260314,54.87785734,57.34674917,59.79011749,62.20872787,64.60328263,66.97442909,69.32276647,71.6488516,73.95320386,76.23630925,78.49862396,80.74057741,82.96257492,85.16499996,87.34821618,89.51256918,91.65838806,93.78598678,95.89566541,97.98771119,100.0623995,102.1199949,104.1607516,106.1849143,108.1927192,110.1843938,112.1601584,114.1202256,116.0648016,117.9940859,119.9082723,121.8075487,123.6920978,125.5620972,127.4177195,129.2591332,131.086502,132.8999859,134.6997407,136.4859186,138.2586683,140.018135,141.7644608,143.4977845,145.2182422,146.925967,148.6210891,150.3037366,151.9740344,153.6321056,155.2780707,156.9120478,158.5341532,160.1445008,161.7432027,163.3303689,164.9061078,166.4705256,168.023727,169.5658149,171.0968907,172.6170541,174.1264032,175.6250347,177.1130437,178.5905241,180.0575683,181.5142674,182.9607111,184.396988,185.8231853,187.2393892,188.6456846,190.0421553,191.4288839,192.8059521,194.1734403,195.5314281,196.8799941,198.2192157,199.5491695,200.8699311,202.1815752,203.4841757,204.7778054,206.0625365,207.3384402,208.6055869,209.8640461,211.1138868,212.3551769,213.5879837,214.8123737,216.0284128,217.236166,218.4356977,219.6270716,220.8103507,221.9855974,223.1528733,224.3122395,225.4637565,226.607484,227.7434812,228.8718067,229.9925185,231.105674,232.2113302,233.3095432,234.4003688,235.4838623,236.5600782,237.6290708,238.6908937,239.7455998,240.793242,241.8338722,242.8675421,243.8943028,244.9142051,245.927299,246.9336344,247.9332606,248.9262263,249.9125799,250.8923695,251.8656426,252.8324462,253.7928271,254.7468316,255.6945054,256.6358942,257.5710428,258.4999961,259.4227984,260.3394935,261.2501249,262.1547359,263.0533692,263.9460673,264.8328722,265.7138256,266.588969,267.4583433,268.3219892,269.1799471,270.032257,270.8789584,271.7200909,272.5556934,273.3858047,274.2104631,275.0297066,275.8435732,276.6521001,277.4553247,278.2532838,279.0460139,279.8335513,280.6159321,281.3931918,282.165366,282.9324898,283.6945981,284.4517253,285.203906,285.951174,286.6935632,287.4311071,288.1638391,288.8917919,289.6149986,290.3334914,291.0473027,291.7564645,292.4610085,293.1609662,293.856369,294.5472477,295.2336333,295.9155563,296.593047
Lodgepole pine,Lodgepole pine,0,0.03989101739,0.2503472018,0.7085839208,1.448365649,2.477866285,3.789049258,5.363632793,7.177132139,9.201669249,11.40793944,13.76658055,16.24911019,18.82854753,21.47980388,24.17990421,26.90808572,29.6458083,32.37670293,35.08647761,37.76279579,40.39513808,42.97465569,45.49402133,47.94728204,50.32971696,52.637702,54.8685827,57.02055621,59.09256241,61.0841845,62.99555857,64.82729207,66.58039053,68.25619209,69.8563093,71.38257757,72.83700986,74.22175678,75.53907194,76.79128171,77.98075924,79.10990202,80.18111278,81.19678335,82.159281,83.07093713,83.93403797,84.75081697,85.5234488,86.25404463,86.94464862,87.59723535,88.21370816,88.7958982,89.34556412,89.86439223,90.35399722,90.81592311,91.25164459,91.66256858,92.050036,92.41532363,92.75964616,93.08415831,93.38995695,93.67808329,93.94952511,94.20521894,94.44605224,94.67286553,94.88645453,95.0875722,95.27693074,95.45520358,95.62302723,95.78100311,95.92969932,96.06965233,96.20136862,96.3253262,96.44197614,96.55174397,96.65503108,96.75221596,96.8436555,96.92968614,97.01062497,97.08677085,97.15840539,97.22579389,97.28918629,97.34881803,97.40491084,97.45767354,97.50730279,97.55398371,97.59789064,97.63918769,97.67802934,97.71456101,97.74891957,97.78123384,97.81162506,97.84020732,97.86708799,97.89236808,97.91614267,97.9385012,97.95952782,97.9793017,97.99789734,98.0153848,98.03183002,98.04729501,98.06183811,98.07551419,98.08837487,98.1004687,98.11184136,98.12253579,98.13259241,98.14204921,98.15094194,98.15930421,98.16716764,98.17456196,98.18151514,98.18805347,98.1942017,98.19998307,98.20541948,98.21053149,98.21533845,98.21985855,98.22410891,98.22810562,98.2318638,98.23539768,98.23872066,98.24184531,98.24478346,98.24754624,98.25014413,98.25258695,98.25488395,98.25704386,98.25907483,98.26098457,98.26278032,98.26446887,98.26605663,98.2675496,98.26895346,98.27027351,98.27151476,98.27268191,98.27377938,98.27481134,98.2757817,98.27669412,98.27755208,98.27835882,98.27911739,98.27983068,98.28050139,98.28113205,98.28172507,98.28228268,98.282807,98.28330002,98.28376361,98.28419952,98.28460941,98.28499482,98.28535723,98.28569799,98.28601842,98.28631971,98.28660302,98.28686941,98.2871199,98.28735544,98.28757691,98.28778516,98.28798097,98.2881651,98.28833823,98.28850103,98.28865411,98.28879804,98.28893339,98.28906065,98.28918032,98.28929284,98.28939864,98.28949813,98.28959168,98.28967964,98.28976235,98.28984012
Grand fir,Grand fir,0,3.929371458,7.376902102,10.65061652,13.80961972,16.88121554,19.88122537,22.81999544,25.70483121,28.54117428,31.33324134,34.08440112,36.79741102,39.47457324,42.11784187,44.72889881,47.3092091,49.86006215,52.38260314,54.87785734,57.34674917,59.79011749,62.20872787,64.60328263,66.97442909,69.32276647,71.6488516,73.95320386,76.23630925,78.49862396,80.74057741,82.96257492,85.16499996,87.34821618,89.51256918,91.65838806,93.78598678,95.89566541,97.98771119,100.0623995,102.1199949,104.1607516,106.1849143,108.1927192,110.1843938,112.1601584,114.1202256,116.0648016,117.9940859,119.9082723,121.8075487,123.6920978,125.5620972,127.4177195,129.2591332,131.086502,132.8999859,134.6997407,136.4859186,138.2586683,140.018135,141.7644608,143.4977845,145.2182422,146.925967,148.6210891,150.3037366,151.9740344,153.6321056,155.2780707,156.9120478,158.5341532,160.1445008,161.7432027,163.3303689,164.9061078,166.4705256,168.023727,169.5658149,171.0968907,172.6170541,174.1264032,175.6250347,177.1130437,178.5905241,180.0575683,181.5142674,182.9607111,184.396988,185.8231853,187.2393892,188.6456846,190.0421553,191.4288839,192.8059521,194.1734403,195.5314281,196.8799941,198.2192157,199.5491695,200.8699311,202.1815752,203.4841757,204.7778054,206.0625365,207.3384402,208.6055869,209.8640461,211.1138868,212.3551769,213.5879837,214.8123737,216.0284128,217.236166,218.4356977,219.6270716,220.8103507,221.9855974,223.1528733,224.3122395,225.4637565,226.607484,227.7434812,228.8718067,229.9925185,231.105674,232.2113302,233.3095432,234.4003688,235.4838623,236.5600782,237.6290708,238.6908937,239.7455998,240.793242,241.8338722,242.8675421,243.8943028,244.9142051,245.927299,246.9336344,247.9332606,248.9262263,249.9125799,250.8923695,251.8656426,252.8324462,253.7928271,254.7468316,255.6945054,256.6358942,257.5710428,258.4999961,259.4227984,260.3394935,261.2501249,262.1547359,263.0533692,263.9460673,264.8328722,265.7138256,266.588969,267.4583433,268.3219892,269.1799471,270.032257,270.8789584,271.7200909,272.5556934,273.3858047,274.2104631,275.0297066,275.8435732,276.6521001,277.4553247,278.2532838,279.0460139,279.8335513,280.6159321,281.3931918,282.165366,282.9324898,283.6945981,284.4517253,285.203906,285.951174,286.6935632,287.4311071,288.1638391,288.8917919,289.6149986,290.3334914,291.0473027,291.7564645,292.4610085,293.1609662,293.856369,294.5472477,295.2336333,295.9155563,296.593047
Red fir,Fir,0,0.05386264522,0.2162728306,0.4852330005,0.8578620679,1.33102917,1.901514254,2.566076623,3.32149047,4.164565352,5.092158757,6.101184099,7.188615886,8.351493039,9.586920961,10.89207273,12.26418964,13.70058136,15.19862561,16.75576773,18.36951995,20.03746059,21.75723306,23.52654482,25.34316636,27.20492993,29.10972845,31.05551427,33.04029793,35.06214696,37.11918464,39.20958875,41.33159036,43.48347261,45.66356952,47.87026475,50.10199049,52.35722623,54.63449769,56.93237561,59.24947472,61.58445259,63.93600862,66.30288293,68.68385538,71.07774455,73.48340675,75.89973502,78.32565827,80.76014023,83.20217867,85.65080442,88.10508054,90.56410146,93.02699218,95.49290741,97.96103081,100.4305742,102.9007769,105.3709047,107.8402496,110.3081287,112.7738836,115.23688,117.6965067,120.152175,122.6033183,125.0493915,127.48987,129.9242494,132.3520453,134.7727919,137.1860422,139.5913671,141.9883552,144.3766118,146.755759,149.1254347,151.4852925,153.8350012,156.1742441,158.502719,160.8201373,163.1262239,165.420717,167.7033671,169.9739372,172.232202,174.4779481,176.7109729,178.931085,181.1381034,183.3318572,185.5121858,187.6789377,189.831971,191.9711527,194.0963587,196.2074732,198.3043886,200.3870053,202.4552313,204.508982,206.5481802,208.5727555,210.5826442,212.5777892,214.5581397,216.5236509,218.4742839,220.4100055,222.3307882,224.2366094,226.1274519,228.0033035,229.8641565,231.7100081,233.5408597,235.3567172,237.1575904,238.9434932,240.7144435,242.4704625,244.2115754,245.9378104,247.6491994,249.345777,251.0275814,252.6946532,254.347036,255.9847763,257.6079229,259.2165272,260.810643,262.3903262,263.9556352,265.5066301,267.0433732,268.5659288,270.0743629,271.5687431,273.0491389,274.5156212,275.9682624,277.4071364,278.8323185,280.2438851,281.6419139,283.0264838,284.3976747,285.7555676,287.1002443,288.4317877,289.7502814,291.0558099,292.3484584,293.6283127,294.8954593,296.1499854,297.3919786,298.6215271,299.8387194,301.0436445,302.2363919,303.4170512,304.5857126,305.7424661,306.8874025,308.0206123,309.1421863,310.2522157,311.3507914,312.4380045,313.5139462,314.5787078,315.6323803,316.6750549,317.7068226,318.7277743,319.7380009,320.7375931,321.7266413,322.7052361,323.6734674,324.6314253,325.5791994,326.5168792,327.4445538,328.3623121,329.2702428,330.168434,331.0569737,331.9359494,332.8054485,333.6655577,334.5163634,335.3579519,336.1904087,337.0138191,337.8282679,338.6338396
Douglas-fir,Douglas-fir and Rocky Mountain Douglas-fir,0,1.961459109,4.016186704,6.098335568,8.193166988,10.29357243,12.39533353,14.49565665,16.59256017,18.68457094,20.77055607,22.84962188,24.92104952,26.98425189,29.03874369,31.08411997,33.12004029,35.14621683,37.16240526,39.16839759,41.16401647,43.14911071,45.1235515,47.08722944,49.040052,50.98194139,52.91283279,54.83267288,56.74141849,58.63903553,60.525498,62.40078719,64.26489092,66.11780291,67.95952222,69.79005273,71.60940273,73.4175845,75.21461394,77.00051031,78.77529586,80.53899567,82.29163733,84.03325078,85.7638681,87.48352334,89.19225236,90.89009269,92.57708337,94.25326486,95.91867892,97.57336849,99.21737761,100.8507513,102.4735356,104.0857773,105.6875239,107.2788238,108.859726,110.43028,111.9905359,113.5405443,115.0803563,116.6100234,118.1295973,119.6391302,121.1386746,122.6282832,124.1080089,125.577905,127.0380246,128.4884213,129.9291488,131.3602607,132.7818108,134.193853,135.5964411,136.9896292,138.3734712,139.748021,141.1133326,142.4694598,143.8164565,145.1543765,146.4832734,147.803201,149.1142128,150.4163623,151.7097027,152.9942873,154.2701692,155.5374013,156.7960365,158.0461275,159.2877266,160.5208864,161.745659,162.9620963,164.1702502,165.3701724,166.5619144,167.7455273,168.9210623,170.0885703,171.2481018,172.3997074,173.5434374,174.6793417,175.8074702,176.9278725,178.040598,179.1456959,180.243215,181.3332041,182.4157117,183.490786,184.5584751,185.6188267,186.6718883,187.7177074,188.7563309,189.7878058,190.8121785,191.8294956,192.839803,193.8431466,194.8395722,195.8291251,196.8118504,197.7877931,198.7569978,199.7195089,200.6753706,201.6246269,202.5673214,203.5034977,204.4331988,205.3564677,206.2733472,207.1838798,208.0881076,208.9860726,209.8778167,210.7633812,211.6428075,212.5161366,213.3834093,214.244666,215.0999472,215.9492928,216.7927427,217.6303365,218.4621135,219.2881129,220.1083734,220.9229338,221.7318325,222.5351076,223.3327971,224.1249387,224.9115698,225.6927278,226.4684496,227.238772,228.0037317,228.7633648,229.5177076,230.266796,231.0106655,231.7493517,232.4828898,233.2113146,233.9346612,234.6529639,235.3662571,236.0745749,236.7779514,237.47642,238.1700144,238.8587678,239.5427132,240.2218834,240.8963112,241.5660289,242.2310687,242.8914627,243.5472426,244.1984401,244.8450864,245.4872129,246.1248505,246.75803,247.3867819,248.0111367,248.6311245,249.2467754,249.8581191,250.4651852,251.0680032,251.6666022,252.2610113
Mountain hemlock,Mountain hemlock,0,0.5119599099,1.318313365,2.287602864,3.377233341,4.56338622,5.830305013,7.16657654,8.563443975,10.01391521,11.51224133,13.05358856,14.63382023,16.24934536,17.89700996,19.5740165,21.27786291,23.00629541,24.75727131,26.52892927,28.31956519,30.12761238,31.95162516,33.79026504,35.64228914,37.50654019,39.38193808,41.26747247,43.16219639,45.06522065,46.9757089,48.89287334,50.81597079,52.74429932,54.67719515,56.61402988,58.55420803,60.49716479,62.44236396,64.38929613,66.33747697,68.2864457,70.23576366,72.18501304,74.13379566,76.08173187,78.02845953,79.9736331,81.91692271,83.85801339,85.79660428,87.73240797,89.66514979,91.59456721,93.52040931,95.44243616,97.36041836,99.27413656,101.183381,103.0879511,104.9876551,106.8823095,108.771739,110.6557759,112.53426,114.407038,116.2739635,118.1348967,119.9897039,121.8382576,123.6804361,125.5161229,127.3452074,129.1675837,130.9831512,132.7918137,134.59348,136.388063,138.1754801,139.9556527,141.7285062,143.4939698,145.2519765,147.0024626,148.7453681,150.4806363,152.2082136,153.9280495,155.6400966,157.3443101,159.0406484,160.7290723,162.4095453,164.0820335,165.7465051,167.4029311,169.0512844,170.6915404,172.3236764,173.9476719,175.5635082,177.1711688,178.7706387,180.3619051,181.9449565,183.5197836,185.0863782,186.644734,188.1948462,189.7367114,191.2703275,192.795694,194.3128117,195.8216825,197.3223098,198.814698,200.2988528,201.774781,203.2424903,204.7019899,206.1532895,207.5964001,209.0313336,210.4581028,211.8767214,213.2872039,214.6895657,216.083823,217.4699927,218.8480926,220.218141,221.5801571,222.9341607,224.2801723,225.6182128,226.9483041,228.2704683,229.5847282,230.8911073,232.1896294,233.4803189,234.7632007,236.0383001,237.3056429,238.5652553,239.817164,241.0613959,242.2979784,243.5269394,244.748307,245.9621096,247.168376,248.3671353,249.5584169,250.7422504,251.9186659,253.0876934,254.2493635,255.4037068,256.5507543,257.6905369,258.8230862,259.9484335,261.0666106,262.1776493,263.2815816,264.3784398,265.4682561,266.5510629,267.626893,268.6957789,269.7577535,270.8128496,271.8611003,272.9025387,273.937198,274.9651113,275.986312,277.0008335,278.0087092,279.0099725,280.0046569,280.9927961,281.9744235,282.9495728,283.9182775,284.8805714,285.836488,286.7860609,287.7293238,288.6663104,289.5970542,290.5215888,291.4399478,292.3521648,293.2582732,294.1583066,295.0522985,295.9402821,296.822291,297.6983584
Tanoak,Oak,0,1.27213741,3.466529456,6.203134461,9.344498658,12.80960033,16.54276579,20.50246766,24.65609594,28.9771267,33.44343012,38.03618499,42.73914384,47.53811393,52.42057797,57.37540898,62.39265087,67.46334601,72.57939746,77.73345717,82.91883402,88.12941731,93.35961242,98.60428618,103.8587201,109.11857,114.3798311,119.6388072,124.8920838,130.1365043,135.3691489,140.5873155,145.788503,150.9703961,156.1308511,161.2678843,166.3796597,171.4644795,176.5207743,181.5470943,186.542102,191.5045642,196.4333458,201.3274033,206.1857791,211.0075964,215.7920539,220.5384214,225.2460358,229.9142962,234.5426614,239.1306455,243.6778148,248.183785,252.6482183,257.0708204,261.4513384,265.7895581,270.0853017,274.3384262,278.5488208,282.7164053,286.8411286,290.9229666,294.9619206,298.9580163,302.9113019,306.8218471,310.6897416,314.5150939,318.2980306,322.0386946,325.7372448,329.3938545,333.0087111,336.5820147,340.1139776,343.6048235,347.0547865,350.4641107,353.8330494,357.1618644,360.4508255,363.7002099,366.9103017,370.0813911,373.2137744,376.307753,379.3636336,382.3817269,385.3623481,388.3058158,391.2124522,394.0825824,396.9165341,399.7146374,402.4772245,405.2046294,407.8971874,410.5552354,413.179111,415.7691529,418.3257,420.8490919,423.3396682,425.7977686,428.2237324,430.6178987,432.9806062,435.3121927,437.6129953,439.8833503,442.1235926,444.3340563,446.515074,448.666977,450.7900949,452.884756,454.9512868,456.9900119,459.0012543,460.985335,462.9425729,464.873285,466.7777862,468.6563892,470.5094045,472.3371403,474.1399025,475.9179949,477.6717185,479.4013722,481.1072524,482.789653,484.4488654,486.0851784,487.6988784,489.2902491,490.8595717,492.4071249,493.9331846,495.4380242,496.9219144,498.3851233,499.8279165,501.2505566,502.653304,504.0364162,505.400148,506.7447517,508.0704769,509.3775705,510.666277,511.9368381,513.1894927,514.4244775,515.6420262,516.8423702,518.0257383,519.1923565,520.3424484,521.476235,522.593935,523.6957642,524.7819361,525.8526619,526.9081499,527.9486063,528.9742347,529.9852364,530.98181,531.9641521,532.9324567,533.8869155,534.8277179,535.7550508,536.6690992,537.5700454,538.4580696,539.3333499,540.196062,541.0463796,541.8844738,542.7105141,543.5246675,544.3270989,545.1179713,545.8974455,546.6656801,547.4228319,548.1690556,548.9045039,549.6293275,550.3436751,551.0476936,551.7415279,552.425321,553.099214,553.7633463,554.4178553,555.0628767
Sitka spruce,Sitka spruce,0,6.28222751,12.54493457,18.77640637,24.97431026,31.13765206,37.26593646,43.3589109,49.41645947,55.43855077,61.42520923,67.37649787,73.29250752,79.17334951,85.01915069,90.83004986,96.60619512,102.3477419,108.0548516,113.72769,119.366427,124.9712352,130.5422898,136.0797679,141.583848,147.0547099,152.4925343,157.8975025,163.2697963,168.6095978,173.9170894,179.1924531,184.4358713,189.6475259,194.8275986,199.9762708,205.0937234,210.1801371,215.2356916,220.2605666,225.2549408,230.2189924,235.152899,240.0568374,244.9309839,249.7755138,254.5906017,259.3764217,264.1331468,268.8609493,273.5600008,278.2304719,282.8725326,287.4863519,292.072098,296.6299382,301.1600392,305.6625664,310.1376847,314.5855582,319.0063497,323.4002216,327.7673352,332.1078509,336.4219284,340.7097264,344.9714027,349.2071145,353.4170178,357.6012678,361.7600191,365.893425,370.0016385,374.0848111,378.143094,382.1766372,386.1855901,390.1701009,394.1303173,398.066386,401.9784529,405.866663,409.7311606,413.5720889,417.3895906,421.1838073,424.95488,428.7029488,432.4281528,436.1306306,439.8105198,443.4679573,447.103079,450.7160202,454.3069153,457.8758981,461.4231014,464.9486572,468.4526969,471.935351,475.3967492,478.8370207,482.2562935,485.6546952,489.0323524,492.3893912,495.7259368,499.0421136,502.3380454,505.6138551,508.8696651,512.1055969,515.3217712,518.5183081,521.6953272,524.8529469,527.9912852,531.1104595,534.2105862,537.2917813,540.3541597,543.3978361,546.4229242,549.429537,552.4177871,555.3877861,558.3396451,561.2734746,564.1893843,567.0874832,569.9678798,572.8306818,575.6759964,578.5039302,581.3145888,584.1080775,586.884501,589.643963,592.3865671,595.1124157,597.8216111,600.5142546,603.1904471,605.8502889,608.4938795,611.1213181,613.732703,616.3281321,618.9077026,621.4715111,624.0196539,626.5522262,629.0693232,631.571039,634.0574675,636.5287019,638.9848348,641.4259583,643.8521639,646.2635427,648.6601849,651.0421804,653.4096187,655.7625885,658.1011779,660.4254749,662.7355664,665.0315392,667.3134793,669.5814725,671.8356038,674.0759577,676.3026183,678.5156691,680.7151932,682.9012731,685.0739909,687.2334281,689.3796657,691.5127843,693.6328639,695.7399841,697.834224,699.9156622,701.9843768,704.0404455,706.0839455,708.1149535,710.1335458,712.139798,714.1337857,716.1155835,718.085266,720.0429072,721.9885804,723.9223588,725.8443149,727.7545211,729.653049,731.5399699,733.4153546
Red alder,Red alder,0,7.36561644,13.09102948,18.28784561,23.14932788,27.76241164,32.17663145,36.42399531,40.52690314,44.50192588,48.36183585,52.11679385,55.77508909,59.34362404,62.82824512,66.23397602,69.56518685,72.82571982,76.01898446,79.1480312,82.21560893,85.22421093,88.17611165,91.07339685,93.9179882,96.71166387,99.45607559,102.1527632,104.803167,107.4086379,109.970447,112.4897931,114.9678094,117.4055697,119.8040934,122.1643502,124.4872641,126.7737173,129.024553,131.2405785,133.4225677,135.5712636,137.6873804,139.7716051,141.8245995,143.8470018,145.8394279,147.8024727,149.7367115,151.6427008,153.5209797,155.3720705,157.1964798,158.994699,160.7672054,162.5144627,164.2369217,165.9350209,167.6091868,169.259835,170.8873701,172.4921864,174.0746685,175.6351913,177.1741207,178.6918139,180.1886196,181.6648784,183.1209233,184.5570795,185.9736651,187.3709914,188.7493625,190.1090764,191.4504244,192.7736922,194.0791591,195.3670989,196.6377799,197.891465,199.1284117,200.3488727,201.5530956,202.7413233,203.9137942,205.070742,206.212396,207.3389814,208.4507191,209.5478262,210.6305155,211.6989963,212.7534739,213.7941502,214.8212235,215.8348884,216.8353365,217.8227557,218.7973311,219.7592442,220.7086739,221.6457957,222.5707824,223.4838039,224.3850272,225.2746167,226.1527339,227.019538,227.8751853,228.7198298,229.553623,230.376714,231.1892493,231.9913736,232.7832288,233.5649548,234.3366896,235.0985685,235.8507252,236.5932911,237.3263957,238.0501665,238.7647289,239.4702068,240.1667218,240.854394,241.5333414,242.2036806,242.8655262,243.5189912,244.164187,244.8012231,245.4302078,246.0512475,246.6644471,247.2699101,247.8677385,248.4580326,249.0408915,249.6164128,250.1846927,250.7458261,251.2999063,251.8470255,252.3872746,252.9207432,253.4475194,253.9676905,254.4813421,254.988559,255.4894245,255.984021,256.4724296,256.9547303,257.431002,257.9013225,258.3657686,258.8244159,259.2773391,259.7246117,260.1663065,260.6024951,261.0332479,261.4586348,261.8787245,262.2935848,262.7032825,263.1078836,263.5074532,263.9020556,264.291754,264.6766109,265.056688,265.4320462,265.8027453,266.1688447,266.5304028,266.8874771,267.2401246,267.5884014,267.9323629,268.2720636,268.6075576,268.9388979,269.2661372,269.5893271,269.9085189,270.223763,270.5351092,270.8426066,271.1463037,271.4462483,271.7424877,272.0350685,272.3240367,272.6094377,272.8913162,273.1697167,273.4446826,273.716257,273.9844826
